,title,abstract,refers
0,[PDF] Language models are unsupervised multitask learners,"Natural language processing tasks, such as question answering, machine translation,
reading comprehension, and summarization, are typically approached with supervised …",3406회 인용
1,"fairseq: A fast, extensible toolkit for sequence modeling","fairseq is an open-source sequence modeling toolkit that allows researchers and
developers to train custom models for translation, summarization, language modeling, and …",1637회 인용
2,"The design and implementation of xiaoice, an empathetic social chatbot","This article describes the development of Microsoft XiaoIce, the most popular social chatbot
in the world. XiaoIce is uniquely designed as an artifical intelligence companion with an …",384회 인용
3,Recipes for building an open-domain chatbot,"Building open-domain chatbots is a challenging area for machine learning research. While
prior work has shown that scaling neural models in the number of parameters and the size of …",381회 인용
4,Retrieval-augmented generation for knowledge-intensive nlp tasks,"Large pre-trained language models have been shown to store factual knowledge in their
parameters, and achieve state-of-the-art results when fine-tuned on downstream NLP tasks …",370회 인용
5,Poly-encoders: Transformer architectures and pre-training strategies for fast and accurate multi-sentence scoring,"The use of deep pre-trained bidirectional transformers has led to remarkable progress in a
number of applications (Devlin et al., 2018). For tasks that make pairwise comparisons …",253회 인용
6,The second conversational intelligence challenge (convai2),"We describe the setting and results of the ConvAI2 NeurIPS competition that aims to further
the state-of-the-art in open-domain chatbots. Some key takeaways from the competition …",225회 인용
7,Topical-Chat: Towards Knowledge-Grounded Open-Domain Conversations.,"Building socialbots that can have deep, engaging open-domain conversations with humans
is one of the grand challenges of artificial intelligence (AI). To this end, bots need to be able …",157회 인용
8,What makes a good conversation? how controllable attributes affect human judgments,"A good conversation requires balance--between simplicity and detail; staying on topic and
changing it; asking questions and answering them. Although dialogue agents are commonly …",144회 인용
9,Challenges in building intelligent open-domain dialog systems,"There is a resurgent interest in developing intelligent open-domain dialog systems due to
the availability of large amounts of conversational data and the recent progress on neural …",138회 인용
10,A survey of reinforcement learning informed by natural language,"To be successful in real-world tasks, Reinforcement Learning (RL) needs to exploit the
compositional, relational, and hierarchical structure of the world, and learn to transfer it to the …",134회 인용
11,KILT: a benchmark for knowledge intensive language tasks,"Challenging problems such as open-domain question answering, fact checking, slot filling
and entity linking require access to large, external knowledge sources. While some models …",130회 인용
12,Learning to select knowledge for response generation in dialog systems,"End-to-end neural models for intelligent dialogue systems suffer from the problem of
generating uninformative responses. Various methods were proposed to generate more …",122회 인용
13,Knowledge-enriched transformer for emotion detection in textual conversations,"Messages in human conversations inherently convey emotions. The task of detecting
emotions in textual conversations leads to a wide range of applications such as opinion …",117회 인용
14,Proactive human-machine conversation with explicit conversation goals,"Though great progress has been made for human-machine conversation, current dialogue
system is still in its infancy: it usually converses passively and utters words more as a matter …",113회 인용
15,Plato: Pre-trained dialogue generation model with discrete latent variable,"Pre-training models have been proved effective for a wide range of natural language
processing tasks. Inspired by this, we propose a novel dialogue generation pre-training …",111회 인용
16,Autoregressive entity retrieval,"Entities are at the center of how we represent and aggregate knowledge. For instance,
Encyclopedias such as Wikipedia are structured by entities (eg, one per Wikipedia article) …",104회 인용
17,Can you put it all together: Evaluating conversational agents' ability to blend skills,"Being engaging, knowledgeable, and empathetic are all desirable general qualities in a
conversational agent. Previous work has introduced tasks and datasets that aim to help …",95회 인용
18,Acute-eval: Improved dialogue evaluation with optimized questions and multi-turn comparisons,"While dialogue remains an important end-goal of natural language research, the difficulty of
evaluation is an oft-quoted reason why it remains troublesome to make real progress …",93회 인용
19,Learning to speak and act in a fantasy text adventure game,"We introduce a large scale crowdsourced text adventure game as a research platform for
studying grounded dialogue. In it, agents can perceive, emote, and act whilst conducting …",88회 인용
20,Conversing by reading: Contentful neural conversation with on-demand machine reading,"Although neural conversation models are effective in learning how to produce fluent
responses, their primary challenge lies in knowing what to say to make the conversation …",86회 인용
21,Moel: Mixture of empathetic listeners,"Previous research on empathetic dialogue systems has mostly focused on generating
responses given certain emotions. However, being empathetic not only requires the ability of …",81회 인용
22,Don't Say That! Making Inconsistent Dialogue Unlikely with Unlikelihood Training,"Generative dialogue models currently suffer from a number of problems which standard
maximum likelihood training does not address. They tend to produce generations that (i) rely …",86회 인용
23,Sequential latent knowledge selection for knowledge-grounded dialogue,"Knowledge-grounded dialogue is a task of generating an informative response based on
both discourse context and external knowledge. As we focus on better modeling the …",83회 인용
24,Knowledge-grounded dialogue generation with pre-trained language models,"We study knowledge-grounded dialogue generation with pre-trained language models. To
leverage the redundant external knowledge under capacity constraint, we propose …",74회 인용
25,Knowledge aware conversation generation with explainable reasoning over augmented graphs,"Two types of knowledge, triples from knowledge graphs and texts from documents, have
been studied for knowledge aware open-domain conversation generation, in which graph …",73회 인용
26,Incremental transformer with deliberation decoder for document grounded conversations,"Document Grounded Conversations is a task to generate dialogue responses when chatting
about the content of a given document. Obviously, document knowledge plays a critical role …",67회 인용
27,Towards conversational recommendation over multi-type dialogs,"We propose a new task of conversational recommendation over multi-type dialogs, where
the bots can proactively and naturally lead a conversation from a non-recommendation …",62회 인용
28,"The gem benchmark: Natural language generation, its evaluation and metrics","We introduce GEM, a living benchmark for natural language Generation (NLG), its
Evaluation, and Metrics. Measuring progress in NLG relies on a constantly evolving …",53회 인용
29,Retrieval augmentation reduces hallucination in conversation,"Despite showing increasingly human-like conversational abilities, state-of-the-art dialogue
models often suffer from factual incorrectness and hallucination of knowledge (Roller et al …",54회 인용
30,Kdconv: A chinese multi-domain dialogue dataset towards multi-turn knowledge-driven conversation,"The research of knowledge-driven conversational systems is largely limited due to the lack
of dialog data which consist of multi-turn conversations on multiple topics and with …",52회 인용
31,"Thinking globally, acting locally: Distantly supervised global-to-local knowledge selection for background based conversation","Background Based Conversation (BBCs) have been introduced to help conversational
systems avoid generating overly generic responses. In a BBC, the conversation is grounded …",50회 인용
32,A large-scale chinese short-text conversation dataset,"The advancements of neural dialogue generation models show promising results on
modeling short-text conversations. However, training such models usually needs a large …",49회 인용
33,A survey of knowledge-enhanced text generation,"The goal of text-to-text generation is to make machines express like a human in many
applications such as conversation, summarization, and translation. It is one of the most …",48회 인용
34,Image chat: Engaging grounded conversations,"To achieve the long-term goal of machines being able to engage humans in conversation,
our models should captivate the interest of their speaking partners. Communication …",45회 인용
35,Internet-augmented dialogue generation,"The largest store of continually updating knowledge on our planet can be accessed via
internet search. In this work we study giving access to this information to conversational …",46회 인용
36,"Generate, delete and rewrite: A three-stage framework for improving persona consistency of dialogue generation","Maintaining a consistent personality in conversations is quite natural for human beings, but
is still a non-trivial task for machines. The persona-based dialogue generation task is thus …",43회 인용
37,A controllable model of grounded response generation,"Current end-to-end neural conversation models inherently lack the flexibility to impose
semantic control in the response generation process, often resulting in uninteresting …",39회 인용
38,Lamda: Language models for dialog applications,"We present LaMDA: Language Models for Dialog Applications. LaMDA is a family of
Transformer-based neural language models specialized for dialog, which have up to 137B …",48회 인용
39,Hurdles to progress in long-form question answering,"The task of long-form question answering (LFQA) involves retrieving documents relevant to
a given question and using them to generate a paragraph-length answer. While many …",43회 인용
40,Beyond domain APIs: Task-oriented conversational modeling with unstructured knowledge access,"Most prior work on task-oriented dialogue systems are restricted to a limited coverage of
domain APIs, while users oftentimes have domain related requests that are not covered by …",40회 인용
41,Refnet: A reference-aware network for background based conversation,"Existing conversational systems tend to generate generic responses. Recently, Background
Based Conversation (BBCs) have been introduced to address this issue. Here, the …",36회 인용
42,The dialogue dodecathlon: Open-domain knowledge and image grounded conversational agents,"We introduce dodecaDialogue: a set of 12 tasks that measures if a conversational agent can
communicate engagingly with personality and empathy, ask questions, answer questions by …",40회 인용
43,Improving neural conversational models with entropy-based data filtering,"Current neural network-based conversational models lack diversity and generate boring
responses to open-ended utterances. Priors such as persona, emotion, or topic provide …",36회 인용
